leer(Barium),A(blei),B,C,D,E
E_A#1 / keV	N_A#1	E_A#2 / keV	N_A#2	E_A#3 / keV	N_A#3	E_A#4 / keV	N_A#4	E_A#5 / keV	N_A#5	E_A#6 / keV	N_A#6
375,0	68	375,0	76	375,0	74	375,0	77	375,0	71	375,0	55
376,1	59	376,1	86	376,1	74	376,1	76	376,1	70	376,1	76
377,1	60	377,1	59	377,1	67	377,1	62	377,1	65	377,1	68
378,1	74	378,1	73	378,1	71	378,1	63	378,1	55	378,1	75
379,2	47	379,2	80	379,2	63	379,2	72	379,2	63	379,2	74
380,2	54	380,2	78	380,2	46	380,2	75	380,2	71	380,2	73
381,3	59	381,3	82	381,3	71	381,3	63	381,3	71	381,3	61
382,3	54	382,3	68	382,3	67	382,3	70	382,3	54	382,3	56
383,3	41	383,3	73	383,3	57	383,3	72	383,3	70	383,3	55
384,4	40	384,4	58	384,4	59	384,4	50	384,4	55	384,4	56
385,4	46	385,4	73	385,4	49	385,4	59	385,4	67	385,4	68
386,5	47	386,5	84	386,5	62	386,5	80	386,5	59	386,5	61
387,5	40	387,5	65	387,5	57	387,5	66	387,5	61	387,5	60
388,5	34	388,5	71	388,5	52	388,5	58	388,5	62	388,5	41
389,6	39	389,6	58	389,6	50	389,6	59	389,6	54	389,6	59
390,6	38	390,6	78	390,6	68	390,6	60	390,6	42	390,6	49
391,6	38	391,6	55	391,6	51	391,6	63	391,6	46	391,6	60
392,7	39	392,7	57	392,7	52	392,7	55	392,7	49	392,7	62
393,7	34	393,7	59	393,7	47	393,7	63	393,7	51	393,7	58
394,8	34	394,8	61	394,8	65	394,8	58	394,8	71	394,8	49
395,8	31	395,8	58	395,8	51	395,8	53	395,8	58	395,8	36
396,8	27	396,8	57	396,8	45	396,8	60	396,8	43	396,8	37
397,9	37	397,9	53	397,9	54	397,9	57	397,9	60	397,9	47
398,9	33	398,9	59	398,9	51	398,9	52	398,9	43	398,9	54
400,0	38	400,0	57	400,0	37	400,0	56	400,0	32	400,0	35
401,0	27	401,0	45	401,0	39	401,0	36	401,0	40	401,0	45
402,0	30	402,0	45	402,0	59	402,0	50	402,0	41	402,0	27
403,1	17	403,1	38	403,1	38	403,1	35	403,1	42	403,1	36
404,1	29	404,1	45	404,1	49	404,1	50	404,1	35	404,1	38
405,2	20	405,2	44	405,2	55	405,2	65	405,2	29	405,2	39
406,2	25	406,2	45	406,2	36	406,2	43	406,2	55	406,2	35
407,2	22	407,2	49	407,2	48	407,2	53	407,2	35	407,2	31
408,3	20	408,3	45	408,3	34	408,3	58	408,3	44	408,3	47
409,3	36	409,3	38	409,3	36	409,3	51	409,3	26	409,3	31
410,3	25	410,3	36	410,3	43	410,3	44	410,3	39	410,3	41
411,4	21	411,4	54	411,4	44	411,4	55	411,4	48	411,4	46
412,4	24	412,4	50	412,4	45	412,4	40	412,4	34	412,4	49
413,5	28	413,5	43	413,5	43	413,5	45	413,5	29	413,5	26
414,5	21	414,5	43	414,5	38	414,5	37	414,5	32	414,5	40
415,5	16	415,5	43	415,5	43	415,5	50	415,5	46	415,5	33
416,6	18	416,6	34	416,6	34	416,6	38	416,6	38	416,6	50
417,6	29	417,6	50	417,6	44	417,6	59	417,6	36	417,6	37
418,7	30	418,7	38	418,7	40	418,7	53	418,7	30	418,7	32
419,7	25	419,7	45	419,7	38	419,7	57	419,7	35	419,7	46
420,7	21	420,7	40	420,7	42	420,7	49	420,7	26	420,7	41
421,8	17	421,8	41	421,8	44	421,8	59	421,8	34	421,8	43
422,8	30	422,8	46	422,8	36	422,8	47	422,8	36	422,8	38
423,9	29	423,9	35	423,9	37	423,9	51	423,9	44	423,9	32
424,9	18	424,9	41	424,9	43	424,9	50	424,9	30	424,9	44
425,9	36	425,9	55	425,9	40	425,9	35	425,9	43	425,9	48
427,0	26	427,0	46	427,0	36	427,0	46	427,0	51	427,0	32
428,0	30	428,0	45	428,0	37	428,0	46	428,0	42	428,0	48
429,0	37	429,0	51	429,0	48	429,0	45	429,0	48	429,0	35
430,1	48	430,1	49	430,1	39	430,1	55	430,1	47	430,1	53
431,1	40	431,1	50	431,1	45	431,1	60	431,1	58	431,1	68
432,2	46	432,2	56	432,2	52	432,2	49	432,2	56	432,2	60
433,2	35	433,2	55	433,2	55	433,2	67	433,2	59	433,2	47
434,2	59	434,2	76	434,2	74	434,2	63	434,2	66	434,2	65
435,3	48	435,3	81	435,3	62	435,3	62	435,3	72	435,3	86
436,3	67	436,3	69	436,3	88	436,3	77	436,3	78	436,3	70
437,4	69	437,4	80	437,4	75	437,4	93	437,4	89	437,4	81
438,4	85	438,4	89	438,4	99	438,4	89	438,4	105	438,4	101
439,4	92	439,4	93	439,4	102	439,4	100	439,4	108	439,4	112
440,5	115	440,5	121	440,5	145	440,5	92	440,5	133	440,5	144
441,5	106	441,5	117	441,5	144	441,5	133	441,5	127	441,5	143
442,6	138	442,6	144	442,6	139	442,6	135	442,6	160	442,6	167
443,6	165	443,6	148	443,6	177	443,6	162	443,6	164	443,6	155
444,6	171	444,6	132	444,6	182	444,6	174	444,6	188	444,6	181
445,7	202	445,7	214	445,7	228	445,7	191	445,7	208	445,7	186
446,7	212	446,7	232	446,7	214	446,7	207	446,7	249	446,7	264
447,7	232	447,7	225	447,7	244	447,7	236	447,7	239	447,7	239
448,8	285	448,8	259	448,8	319	448,8	297	448,8	312	448,8	324
449,8	301	449,8	241	449,8	305	449,8	290	449,8	305	449,8	309
450,9	329	450,9	297	450,9	373	450,9	321	450,9	362	450,9	383
451,9	396	451,9	341	451,9	345	451,9	322	451,9	375	451,9	417
452,9	395	452,9	381	452,9	400	452,9	351	452,9	385	452,9	437
454,0	430	454,0	404	454,0	464	454,0	382	454,0	450	454,0	456
455,0	509	455,0	394	455,0	493	455,0	452	455,0	532	455,0	494
456,1	592	456,1	512	456,1	548	456,1	462	456,1	533	456,1	550
457,1	566	457,1	501	457,1	563	457,1	492	457,1	605	457,1	579
458,1	627	458,1	602	458,1	558	458,1	500	458,1	676	458,1	663
459,2	667	459,2	601	459,2	682	459,2	566	459,2	735	459,2	727
460,2	721	460,2	660	460,2	710	460,2	585	460,2	716	460,2	738
461,3	777	461,3	665	461,3	768	461,3	678	461,3	774	461,3	800
462,3	817	462,3	717	462,3	829	462,3	690	462,3	837	462,3	859
463,3	901	463,3	812	463,3	893	463,3	714	463,3	894	463,3	864
464,4	909	464,4	814	464,4	917	464,4	767	464,4	921	464,4	937
465,4	1018	465,4	813	465,4	959	465,4	780	465,4	1017	465,4	1019
466,4	1007	466,4	921	466,4	1005	466,4	906	466,4	999	466,4	1075
467,5	1086	467,5	940	467,5	1057	467,5	913	467,5	1155	467,5	1056
468,5	1164	468,5	913	468,5	1066	468,5	978	468,5	1100	468,5	1112
469,6	1149	469,6	1021	469,6	1152	469,6	913	469,6	1107	469,6	1112
470,6	1134	470,6	1070	470,6	1124	470,6	997	470,6	1189	470,6	1116
471,6	1168	471,6	991	471,6	1088	471,6	1016	471,6	1199	471,6	1167
472,7	1208	472,7	1083	472,7	1154	472,7	954	472,7	1087	472,7	1139
473,7	1248	473,7	1052	473,7	1120	473,7	1002	473,7	1216	473,7	1158
474,8	1147	474,8	1011	474,8	1163	474,8	950	474,8	1217	474,8	1187
475,8	1266	475,8	1049	475,8	1163	475,8	1006	475,8	1148	475,8	1174
476,8	1194	476,8	1027	476,8	1157	476,8	994	476,8	1146	476,8	1137
477,9	1125	477,9	1049	477,9	1146	477,9	987	477,9	1110	477,9	1131
478,9	1188	478,9	991	478,9	1138	478,9	910	478,9	1106	478,9	1114
480,0	1200	480,0	1074	480,0	1151	480,0	900	480,0	1079	480,0	1131
481,0	1174	481,0	954	481,0	1023	481,0	907	481,0	1075	481,0	1076
482,0	1156	482,0	876	482,0	1054	482,0	892	482,0	993	482,0	1020
483,1	1046	483,1	915	483,1	977	483,1	835	483,1	1040	483,1	1030
484,1	1008	484,1	840	484,1	992	484,1	847	484,1	947	484,1	961
485,1	1016	485,1	850	485,1	919	485,1	832	485,1	903	485,1	877
486,2	948	486,2	867	486,2	896	486,2	747	486,2	815	486,2	846
487,2	886	487,2	800	487,2	825	487,2	661	487,2	763	487,2	792
488,3	852	488,3	731	488,3	765	488,3	604	488,3	750	488,3	674
489,3	777	489,3	628	489,3	671	489,3	578	489,3	671	489,3	752
490,3	719	490,3	589	490,3	658	490,3	536	490,3	630	490,3	649
491,4	629	491,4	610	491,4	552	491,4	494	491,4	579	491,4	621
492,4	608	492,4	532	492,4	535	492,4	458	492,4	526	492,4	521
493,5	569	493,5	481	493,5	501	493,5	443	493,5	465	493,5	492
494,5	489	494,5	427	494,5	421	494,5	391	494,5	450	494,5	457
495,5	518	495,5	403	495,5	404	495,5	338	495,5	398	495,5	436
496,6	403	496,6	362	496,6	367	496,6	355	496,6	357	496,6	346
497,6	344	497,6	294	497,6	323	497,6	287	497,6	302	497,6	320
498,7	370	498,7	268	498,7	266	498,7	258	498,7	267	498,7	296
499,7	313	499,7	265	499,7	253	499,7	189	499,7	292	499,7	257
500,7	263	500,7	222	500,7	224	500,7	198	500,7	203	500,7	239
501,8	260	501,8	167	501,8	179	501,8	169	501,8	204	501,8	178
502,8	197	502,8	168	502,8	181	502,8	163	502,8	175	502,8	171
503,8	178	503,8	133	503,8	143	503,8	136	503,8	141	503,8	128
504,9	151	504,9	138	504,9	130	504,9	114	504,9	124	504,9	120
505,9	116	505,9	103	505,9	117	505,9	93	505,9	99	505,9	103
507,0	107	507,0	95	507,0	96	507,0	74	507,0	86	507,0	79
508,0	76	508,0	68	508,0	82	508,0	69	508,0	69	508,0	66
509,0	77	509,0	65	509,0	63	509,0	53	509,0	59	509,0	57
510,1	49	510,1	52	510,1	41	510,1	50	510,1	37	510,1	50
511,1	56	511,1	41	511,1	52	511,1	37	511,1	44	511,1	31
512,2	38	512,2	32	512,2	54	512,2	34	512,2	49	512,2	28
513,2	24	513,2	32	513,2	35	513,2	14	513,2	21	513,2	35
514,2	27	514,2	12	514,2	19	514,2	29	514,2	27	514,2	19
515,3	29	515,3	13	515,3	26	515,3	14	515,3	24	515,3	11
516,3	23	516,3	19	516,3	16	516,3	7	516,3	15	516,3	18
517,4	14	517,4	16	517,4	11	517,4	12	517,4	13	517,4	6
518,4	9	518,4	7	518,4	14	518,4	10	518,4	12	518,4	9
519,4	10	519,4	9	519,4	8	519,4	5	519,4	10	519,4	11
520,5	6	520,5	4	520,5	7	520,5	5	520,5	5	520,5	6
521,5	7	521,5	7	521,5	9	521,5	5	521,5	3	521,5	8
522,5	7	522,5	2	522,5	4	522,5	3	522,5	6	522,5	8
523,6	7	523,6	7	523,6	3	523,6	3	523,6	2	523,6	3
524,6	5	524,6	4	524,6	4	524,6	4	524,6	4	524,6	2
525,7	5	525,7	5	525,7	3	525,7	5	525,7	2	525,7	5
526,7	4	526,7	3	526,7	4	526,7	2	526,7	1	526,7	3
527,7	2	527,7	0	527,7	5	527,7	1	527,7	2	527,7	4
528,8	2	528,8	2	528,8	2	528,8	0	528,8	0	528,8	3
529,8	2	529,8	1	529,8	3	529,8	2	529,8	0	529,8	2
530,9	1	530,9	0	530,9	3	530,9	1	530,9	2	530,9	2
531,9	1	531,9	0	531,9	3	531,9	1	531,9	3	531,9	1
532,9	4	532,9	0	532,9	4	532,9	4	532,9	3	532,9	1
534,0	0	534,0	2	534,0	2	534,0	1	534,0	0	534,0	2
535,0	0	535,0	1	535,0	0	535,0	2	535,0	1	535,0	1
536,0	5	536,0	1	536,0	2	536,0	1	536,0	3	536,0	1
537,1	1	537,1	0	537,1	3	537,1	2	537,1	2	537,1	0
538,1	2	538,1	0	538,1	1	538,1	0	538,1	2	538,1	0
539,2	0	539,2	1	539,2	0	539,2	1	539,2	3	539,2	0
540,2	3	540,2	1	540,2	1	540,2	1	540,2	0	540,2	2
541,2	1	541,2	2	541,2	3	541,2	1	541,2	1	541,2	1
542,3	3	542,3	3	542,3	2	542,3	2	542,3	3	542,3	0
543,3	2	543,3	1	543,3	2	543,3	1	543,3	3	543,3	2
544,4	1	544,4	0	544,4	2	544,4	1	544,4	0	544,4	2
545,4	1	545,4	3	545,4	0	545,4	0	545,4	0	545,4	0
546,4	0	546,4	1	546,4	0	546,4	1	546,4	4	546,4	3
547,5	2	547,5	0	547,5	1	547,5	0	547,5	0	547,5	1
548,5	2	548,5	1	548,5	1	548,5	1	548,5	2	548,5	1
549,6	2	549,6	2	549,6	0	549,6	0	549,6	2	549,6	2
550,6	0	550,6	0	550,6	2	550,6	1	550,6	3	550,6	0
551,6	2	551,6	2	551,6	0	551,6	2	551,6	0	551,6	2
552,7	6	552,7	0	552,7	1	552,7	1	552,7	1	552,7	2
553,7	2	553,7	0	553,7	3	553,7	1	553,7	2	553,7	2
554,7	1	554,7	1	554,7	2	554,7	2	554,7	0	554,7	1
555,8	2	555,8	0	555,8	0	555,8	1	555,8	1	555,8	3
556,8	3	556,8	2	556,8	1	556,8	1	556,8	2	556,8	1
557,9	0	557,9	1	557,9	0	557,9	2	557,9	0	557,9	1
558,9	0	558,9	2	558,9	2	558,9	0	558,9	1	558,9	2
559,9	0	559,9	1	559,9	2	559,9	2	559,9	1	559,9	1
561,0	1	561,0	1	561,0	0	561,0	2	561,0	2	561,0	0
562,0	1	562,0	1	562,0	4	562,0	3	562,0	3	562,0	1
563,1	0	563,1	1	563,1	0	563,1	5	563,1	0	563,1	3
564,1	1	564,1	1	564,1	1	564,1	1	564,1	1	564,1	2
565,1	1	565,1	0	565,1	0	565,1	0	565,1	1	565,1	4
566,2	2	566,2	0	566,2	0	566,2	1	566,2	1	566,2	2
567,2	2	567,2	2	567,2	1	567,2	0	567,2	2	567,2	0
568,3	1	568,3	2	568,3	1	568,3	2	568,3	0	568,3	1
569,3	4	569,3	0	569,3	3	569,3	3	569,3	1	569,3	1
570,3	0	570,3	1	570,3	2	570,3	0	570,3	1	570,3	1
571,4	0	571,4	1	571,4	2	571,4	1	571,4	2	571,4	1
572,4	3	572,4	2	572,4	2	572,4	3	572,4	4	572,4	1
573,4	2	573,4	2	573,4	0	573,4	0	573,4	0	573,4	1
574,5	1	574,5	1	574,5	1	574,5	2	574,5	0	574,5	1
575,5	0	575,5	0	575,5	2	575,5	0	575,5	3	575,5	1
576,6	1	576,6	3	576,6	1	576,6	0	576,6	3	576,6	0
577,6	1	577,6	0	577,6	1	577,6	3	577,6	0	577,6	4
578,6	0	578,6	0	578,6	0	578,6	1	578,6	1	578,6	2
579,7	0	579,7	2	579,7	0	579,7	3	579,7	1	579,7	2
580,7	3	580,7	1	580,7	1	580,7	2	580,7	0	580,7	1
581,8	2	581,8	1	581,8	3	581,8	1	581,8	0	581,8	3
582,8	0	582,8	1	582,8	4	582,8	1	582,8	2	582,8	4
583,8	0	583,8	2	583,8	4	583,8	1	583,8	0	583,8	0
584,9	4	584,9	0	584,9	2	584,9	0	584,9	1	584,9	0
585,9	2	585,9	1	585,9	1	585,9	2	585,9	1	585,9	1
587,0	2	587,0	2	587,0	2	587,0	3	587,0	0	587,0	1
588,0	0	588,0	0	588,0	0	588,0	0	588,0	2	588,0	0
589,0	1	589,0	4	589,0	1	589,0	2	589,0	2	589,0	2
590,1	1	590,1	1	590,1	1	590,1	0	590,1	0	590,1	1
591,1	0	591,1	2	591,1	2	591,1	0	591,1	1	591,1	0
592,1	0	592,1	2	592,1	1	592,1	1	592,1	1	592,1	3
593,2	1	593,2	0	593,2	1	593,2	0	593,2	0	593,2	3
594,2	0	594,2	0	594,2	0	594,2	0	594,2	1	594,2	0
595,3	0	595,3	0	595,3	1	595,3	4	595,3	1	595,3	0
596,3	1	596,3	0	596,3	2	596,3	1	596,3	2	596,3	1
597,3	1	597,3	1	597,3	1	597,3	0	597,3	2	597,3	1
598,4	0	598,4	0	598,4	1	598,4	2	598,4	2	598,4	2
599,4	2	599,4	2	599,4	1	599,4	2	599,4	1	599,4	1
600,5	1	600,5	1	600,5	3	600,5	1	600,5	1	600,5	2
601,5	3	601,5	0	601,5	2	601,5	0	601,5	0	601,5	0
602,5	1	602,5	3	602,5	5	602,5	1	602,5	0	602,5	2
603,6	0	603,6	1	603,6	0	603,6	2	603,6	1	603,6	0
604,6	2	604,6	0	604,6	4	604,6	0	604,6	2	604,6	2
605,7	1	605,7	0	605,7	3	605,7	0	605,7	2	605,7	1
606,7	0	606,7	2	606,7	2	606,7	1	606,7	0	606,7	4
607,7	0	607,7	1	607,7	1	607,7	2	607,7	0	607,7	0
608,8	2	608,8	2	608,8	0	608,8	2	608,8	0	608,8	1
609,8	0	609,8	0	609,8	1	609,8	0	609,8	1	609,8	0
610,8	0	610,8	1	610,8	0	610,8	3	610,8	3	610,8	2
611,9	0	611,9	1	611,9	1	611,9	2	611,9	1	611,9	1
612,9	1	612,9	0	612,9	0	612,9	0	612,9	0	612,9	2
614,0	0	614,0	1	614,0	3	614,0	3	614,0	0	614,0	1
615,0	0	615,0	1	615,0	4	615,0	0	615,0	1	615,0	2
616,0	1	616,0	2	616,0	2	616,0	3	616,0	2	616,0	1
617,1	2	617,1	0	617,1	0	617,1	1	617,1	2	617,1	0
618,1	1	618,1	0	618,1	1	618,1	0	618,1	0	618,1	1
619,2	0	619,2	1	619,2	1	619,2	1	619,2	3	619,2	1
620,2	3	620,2	1	620,2	2	620,2	1	620,2	0	620,2	1
621,2	4	621,2	1	621,2	0	621,2	3	621,2	0	621,2	1
622,3	0	622,3	1	622,3	2	622,3	0	622,3	3	622,3	1
623,3	0	623,3	1	623,3	1	623,3	1	623,3	0	623,3	1
624,4	1	624,4	2	624,4	2	624,4	0	624,4	1	624,4	1
625,4	0	625,4	1	625,4	3	625,4	1	625,4	0	625,4	2
626,4	0	626,4	0	626,4	0	626,4	1	626,4	0	626,4	0
627,5	3	627,5	1	627,5	0	627,5	0	627,5	1	627,5	0
628,5	2	628,5	1	628,5	0	628,5	3	628,5	3	628,5	0
629,5	3	629,5	1	629,5	0	629,5	2	629,5	0	629,5	0
630,6	0	630,6	0	630,6	1	630,6	1	630,6	0	630,6	1
631,6	0	631,6	1	631,6	2	631,6	4	631,6	0	631,6	1
632,7	0	632,7	1	632,7	0	632,7	1	632,7	0	632,7	0
633,7	1	633,7	1	633,7	1	633,7	1	633,7	2	633,7	6
634,7	4	634,7	0	634,7	1	634,7	1	634,7	0	634,7	2
635,8	0	635,8	0	635,8	1	635,8	2	635,8	0	635,8	1
636,8	3	636,8	1	636,8	1	636,8	1	636,8	0	636,8	0
637,9	0	637,9	1	637,9	2	637,9	3	637,9	0	637,9	0
638,9	1	638,9	0	638,9	3	638,9	0	638,9	3	638,9	0
639,9	1	639,9	2	639,9	1	639,9	0	639,9	0	639,9	2
641,0	1	641,0	0	641,0	0	641,0	2	641,0	2	641,0	3
642,0	2	642,0	0	642,0	3	642,0	0	642,0	0	642,0	1
643,1	0	643,1	0	643,1	3	643,1	2	643,1	0	643,1	1
644,1	1	644,1	1	644,1	0	644,1	2	644,1	0	644,1	1
645,1	2	645,1	2	645,1	0	645,1	1	645,1	0	645,1	1
646,2	1	646,2	1	646,2	1	646,2	1	646,2	1	646,2	2
647,2	0	647,2	2	647,2	0	647,2	1	647,2	0	647,2	2
648,2	1	648,2	1	648,2	3	648,2	3	648,2	0	648,2	0
649,3	3	649,3	1	649,3	5	649,3	0	649,3	2	649,3	0
650,3	1	650,3	0	650,3	0	650,3	3	650,3	1	650,3	2
651,4	0	651,4	2	651,4	5	651,4	0	651,4	0	651,4	0
652,4	0	652,4	0	652,4	0	652,4	0	652,4	5	652,4	2
653,4	3	653,4	0	653,4	1	653,4	0	653,4	1	653,4	0
654,5	2	654,5	1	654,5	1	654,5	0	654,5	1	654,5	2
655,5	0	655,5	2	655,5	1	655,5	1	655,5	2	655,5	0
656,6	1	656,6	1	656,6	2	656,6	0	656,6	3	656,6	1
657,6	1	657,6	1	657,6	2	657,6	0	657,6	1	657,6	1
658,6	1	658,6	0	658,6	0	658,6	0	658,6	1	658,6	0
659,7	0	659,7	0	659,7	0	659,7	2	659,7	1	659,7	2
660,7	1	660,7	0	660,7	2	660,7	1	660,7	2	660,7	2
661,8	1	661,8	3	661,8	1	661,8	2	661,8	2	661,8	2
662,8	0	662,8	0	662,8	1	662,8	0	662,8	0	662,8	1
663,8	0	663,8	0	663,8	0	663,8	0	663,8	1	663,8	1
664,9	0	664,9	0	664,9	1	664,9	0	664,9	1	664,9	1
665,9	0	665,9	0	665,9	1	665,9	0	665,9	2	665,9	0
666,9	0	666,9	0	666,9	1	666,9	0	666,9	1	666,9	2
668,0	2	668,0	1	668,0	1	668,0	1	668,0	0	668,0	2
669,0	3	669,0	0	669,0	0	669,0	0	669,0	0	669,0	1
670,1	2	670,1	0	670,1	0	670,1	1	670,1	1	670,1	3
671,1	1	671,1	1	671,1	1	671,1	1	671,1	1	671,1	2
672,1	2	672,1	4	672,1	1	672,1	0	672,1	1	672,1	0
673,2	4	673,2	0	673,2	0	673,2	0	673,2	3	673,2	1
674,2	2	674,2	0	674,2	0	674,2	1	674,2	0	674,2	1
675,3	0	675,3	0	675,3	0	675,3	1	675,3	1	675,3	2
676,3	0	676,3	0	676,3	2	676,3	0	676,3	0	676,3	0
677,3	0	677,3	0	677,3	1	677,3	2	677,3	1	677,3	1
678,4	0	678,4	1	678,4	0	678,4	0	678,4	3	678,4	0
679,4	0	679,4	0	679,4	1	679,4	1	679,4	0	679,4	0
680,5	2	680,5	3	680,5	1	680,5	0	680,5	1	680,5	1
681,5	0	681,5	3	681,5	0	681,5	1	681,5	1	681,5	0
682,5	1	682,5	1	682,5	1	682,5	1	682,5	0	682,5	0
683,6	0	683,6	0	683,6	0	683,6	1	683,6	3	683,6	2
684,6	1	684,6	2	684,6	3	684,6	3	684,6	1	684,6	2
685,6	0	685,6	0	685,6	0	685,6	0	685,6	2	685,6	1
686,7	1	686,7	1	686,7	0	686,7	2	686,7	1	686,7	0
687,7	2	687,7	1	687,7	0	687,7	1	687,7	0	687,7	3
688,8	0	688,8	1	688,8	2	688,8	1	688,8	0	688,8	0
689,8	3	689,8	1	689,8	5	689,8	1	689,8	2	689,8	0
690,8	0	690,8	1	690,8	0	690,8	0	690,8	1	690,8	1
691,9	1	691,9	0	691,9	1	691,9	2	691,9	1	691,9	1
692,9	0	692,9	0	692,9	0	692,9	1	692,9	0	692,9	0
694,0	1	694,0	1	694,0	1	694,0	1	694,0	1	694,0	0
695,0	1	695,0	0	695,0	0	695,0	2	695,0	0	695,0	2
696,0	1	696,0	0	696,0	0	696,0	0	696,0	2	696,0	0
697,1	0	697,1	1	697,1	1	697,1	0	697,1	0	697,1	1
698,1	1	698,1	1	698,1	3	698,1	1	698,1	0	698,1	0
699,2	1	699,2	1	699,2	2	699,2	0	699,2	0	699,2	0
700,2	1	700,2	1	700,2	1	700,2	1	700,2	0	700,2	1
701,2	0	701,2	2	701,2	0	701,2	0	701,2	0	701,2	0
702,3	0	702,3	1	702,3	0	702,3	1	702,3	0	702,3	1
703,3	2	703,3	1	703,3	2	703,3	2	703,3	2	703,3	1
704,3	0	704,3	0	704,3	1	704,3	0	704,3	1	704,3	1
705,4	1	705,4	3	705,4	1	705,4	2	705,4	1	705,4	1
706,4	1	706,4	0	706,4	1	706,4	0	706,4	0	706,4	0
707,5	2	707,5	0	707,5	1	707,5	0	707,5	0	707,5	0
708,5	0	708,5	1	708,5	0	708,5	1	708,5	0	708,5	1
709,5	0	709,5	0	709,5	0	709,5	0	709,5	1	709,5	1
710,6	1	710,6	0	710,6	2	710,6	3	710,6	0	710,6	0
711,6	0	711,6	1	711,6	0	711,6	1	711,6	1	711,6	0
712,7	2	712,7	1	712,7	1	712,7	0	712,7	2	712,7	3
713,7	1	713,7	1	713,7	0	713,7	1	713,7	2	713,7	0
714,7	0	714,7	2	714,7	1	714,7	2	714,7	0	714,7	1
715,8	0	715,8	2	715,8	1	715,8	1	715,8	1	715,8	1
716,8	0	716,8	0	716,8	1	716,8	1	716,8	0	716,8	1
717,8	1	717,8	0	717,8	0	717,8	1	717,8	0	717,8	2
718,9	1	718,9	0	718,9	1	718,9	0	718,9	1	718,9	0
719,9	0	719,9	1	719,9	1	719,9	0	719,9	3	719,9	0
721,0	3	721,0	0	721,0	0	721,0	1	721,0	2	721,0	2
722,0	0	722,0	0	722,0	1	722,0	0	722,0	0	722,0	1
723,0	0	723,0	1	723,0	1	723,0	0	723,0	1	723,0	0
724,1	0	724,1	1	724,1	1	724,1	0	724,1	0	724,1	2
725,1	0	725,1	0	725,1	1	725,1	1	725,1	1	725,1	1
726,2	2	726,2	3	726,2	2	726,2	0	726,2	1	726,2	0
727,2	0	727,2	1	727,2	2	727,2	0	727,2	0	727,2	3
728,2	0	728,2	1	728,2	1	728,2	0	728,2	0	728,2	1
729,3	1	729,3	1	729,3	2	729,3	2	729,3	2	729,3	0
730,3	0	730,3	0	730,3	1	730,3	1	730,3	1	730,3	0
731,4	1	731,4	0	731,4	1	731,4	0	731,4	2	731,4	1
732,4	0	732,4	0	732,4	0	732,4	0	732,4	0	732,4	0
733,4	1	733,4	0	733,4	1	733,4	1	733,4	0	733,4	1
734,5	3	734,5	0	734,5	0	734,5	1	734,5	2	734,5	0
735,5	0	735,5	0	735,5	1	735,5	2	735,5	1	735,5	0
736,5	1	736,5	0	736,5	0	736,5	0	736,5	0	736,5	0
737,6	0	737,6	1	737,6	1	737,6	0	737,6	2	737,6	0
738,6	0	738,6	0	738,6	0	738,6	1	738,6	1	738,6	0
739,7	1	739,7	1	739,7	0	739,7	1	739,7	0	739,7	0
740,7	2	740,7	1	740,7	0	740,7	0	740,7	0	740,7	0
741,7	1	741,7	1	741,7	1	741,7	0	741,7	2	741,7	1
742,8	1	742,8	1	742,8	0	742,8	0	742,8	1	742,8	3
743,8	1	743,8	1	743,8	1	743,8	2	743,8	2	743,8	1
744,9	4	744,9	1	744,9	0	744,9	2	744,9	1	744,9	0
745,9	2	745,9	2	745,9	0	745,9	2	745,9	1	745,9	0
746,9	0	746,9	0	746,9	0	746,9	0	746,9	1	746,9	0
748,0	0	748,0	0	748,0	0	748,0	1	748,0	0	748,0	2
749,0	2	749,0	0	749,0	0	749,0	1	749,0	1	749,0	0
750,1	0	750,1	1	750,1	0	750,1	0	750,1	1	750,1	2
751,1	0	751,1	0	751,1	1	751,1	0	751,1	1	751,1	1
752,1	0	752,1	1	752,1	1	752,1	0	752,1	0	752,1	1
753,2	0	753,2	2	753,2	0	753,2	0	753,2	1	753,2	0
754,2	1	754,2	1	754,2	2	754,2	0	754,2	1	754,2	1
755,2	1	755,2	1	755,2	0	755,2	1	755,2	1	755,2	0
756,3	0	756,3	2	756,3	0	756,3	0	756,3	1	756,3	2
757,3	1	757,3	2	757,3	1	757,3	0	757,3	1	757,3	1
758,4	1	758,4	1	758,4	1	758,4	1	758,4	1	758,4	0
759,4	1	759,4	2	759,4	2	759,4	2	759,4	1	759,4	0
760,4	0	760,4	1	760,4	1	760,4	0	760,4	3	760,4	0
761,5	0	761,5	0	761,5	0	761,5	0	761,5	1	761,5	0
762,5	1	762,5	1	762,5	1	762,5	1	762,5	0	762,5	1
763,6	1	763,6	1	763,6	0	763,6	0	763,6	1	763,6	1
764,6	1	764,6	1	764,6	1	764,6	0	764,6	0	764,6	0
765,6	0	765,6	0	765,6	1	765,6	0	765,6	1	765,6	0
766,7	3	766,7	1	766,7	0	766,7	0	766,7	1	766,7	1
767,7	1	767,7	2	767,7	0	767,7	1	767,7	1	767,7	2
768,8	1	768,8	4	768,8	2	768,8	0	768,8	2	768,8	0
769,8	1	769,8	2	769,8	4	769,8	2	769,8	0	769,8	1
770,8	1	770,8	0	770,8	0	770,8	0	770,8	1	770,8	0
771,9	2	771,9	0	771,9	3	771,9	0	771,9	0	771,9	1
